股票代码,股票名称,市盈率标准差倍数
SH600519,贵州茅台,1.0
HK00700,腾讯控股,1.0
HK09633,农夫山泉,1.0
HK00388,港交所,1.0
SZ000858,五粮液,1.0
SZ000568,泸州老窖,1.0
SH600600,青岛啤酒,1.0
SH605499,东鹏饮料,1.0
SZ000848,承德露露,1.0
SH600436,片仔癀,1.0
SZ000538,云南白药,1.0
SZ000999,华润三九,1.0
SH600276,恒瑞医药,1.0
SH603259,药明康德,1.0
SZ300760,迈瑞医疗,1.0
SZ002262,恩华药业,1.0
SH603288,海天味业,1.0
SH600887,伊利股份,1.0
SZ000895,双汇发展,1.0
SZ002032,苏泊尔,1.0
SH600690,海尔智家,1.0
SZ000333,美的集团,1.0
SH603195,公牛集团,1.0
SH600660,福耀玻璃,1.0
SZ002415,海康威视,1.0
SH603899,晨光股份,1.0
SH600036,招商银行,1.0
SZ300033,同花顺,1.0
SZ300059,东方财富,1.0
SH603605,珀莱雅,1.5
SZ300896,爱美客,1.5
SH603444,吉比特,1.5
SZ002555,三七互娱,1.5
